"Latin Word","First Element","Definition","Chapter",
"memoria, memoriae (f) ","memoria","memory, recollection",15,
"mens, mentis (f)* ","mens","mind, thought, intention",16,
"mensa, mensae (f) ","mensa","table",26,
"merus, -a, -um","merus","pure, undiluted",33,
"meta, metae (f) ","meta","turning point, goal; limit, boundary",40,
"metus, metus (m) ","metus","fear",20,
"meus, mea, meum ","meus","my",2,
"miles,  militis (m) ","miles","soldier",23,
"mille ","mille ","thousand",15,
"minuo, minuere, minui, minutum ","minuo","to lessen, diminish",30,
"mirabilis, mirabile ","mirabilis","amazing, wondrous",38,
"miror, mirāri, miratus sum ","miror","to marvel at, admire, wonder",35,
"misceo, miscēre, miscui, mixtum ","misceo","to mix, stir up, disturb",18,
"miser, misera, miserum ","miser","sad, wretched, miserable, unfortunate",15,
"mitto, mittere, misi, missum ","mitto","to send, let go",11,
"modus, modi (m) ","modus","measure, bound, limit; manner, method, mode, way",22,
"moenia, moenium (n) ","moenia","city walls",29,
"molior, moliri, molitus sum ","molior","to work at, build, undertake, plan",34,
"mollio, mollire, mollivi, mollitum ","mollio","to soften; make calm, make less hostile",29,
"moneo, monēre, monui, monitum ","moneo","to warn, remind, advise",1,
"mons, montis (m)* ","mons","mountain",20,
"monumentum, monumenti (n) ","monumentum","monument",40,
"mora, morae (f) ","mora","delay",4,
"morbus, morbi (m) ","morbus","disease, sickness",9,
"morior, mori, mortuus sum ","morior","to die",34,
"mors, mortis (f)* ","mors","death",14,
"mortalis, mortale ","mortalis","mortal",18,
"mortuus, mortua, mortuum ","mortuus","dead",28,
"mos, moris (m) ","mos","habit,  custom, manner; (plural  = character, morals)",7,
"moveo, movēre, movi, motum ","moveo","to move; arouse, affect",18,
"mox ","mox ","soon",30,
"mulier, mulieris (f) ","mulier","woman",39,
"multus, multa, multum ","multus","many",2,
"mundus, mundi (m) ","mundus","world, universe",21,
"muto, mutāre, mutavi, mutatum","muto","to change,  alter; exchange",14,
"nam ","nam ","for",13,
"narro, narrāre, narravi, narratum ","narro","to tell, report, narrate",24,
"nascor, nasci, natus sum ","nascor","to be born; spring forth arise",34,
"nasus, nasi (m) ","nasus","nose",40,
"nata, natae (f) ","nata","daughter",29,
"natura, naturae (f) ","natura","nature",10,
"nauta, nautae (m) ","nauta","sailor",2,
"navigo, navigāre, navigavi, navigatum ","navigo","to sail, navigate",17,
"navis, navis (f)* ","navis","ship, boat",21,
"ne ","ne ","(+subjunct) not, in order that . . . not, that . . . not, in order not to",28,
"necesse ","necesse ","necessary, inevitable",39,
"neco, necāre, necavi, necatum ","neco","to kill, murder",7,
"neglego, neglegere, neglexi, neglectum ","neglego","to neglect, disregard",17,
"nego, negāre, negavi, negatum ","nego","to deny, to say that . . . not",25,
"nemo, nullius, nemini, neminem, nullo/nulla ","nemo","no one, nobody",11,
"nepos, nepotis (m) ","nepos","grandson, descendant",27,
"nec","nec","and not, nor (neque/nec . . . neque/nec ",11,
"neque/nec ","neque","and not, nor (neque/nec . . . neque/nec ",11,
"nescio, nescire, nescivi, nescitum ","nescio","not to know, to be ignorant",25,
"neuter, neutra neutrum ","neuter","neither, not either",9,
"nihil ","nihil ","nothing",1,
"nihil ","nihil ","nothing",4,
"nimium","nimium","too, too much, excessively",9,
"nimis or nimium ","nimis","too, too much, excessively",9,
"nisi ","nisi ","if . . . not, unless",19,
"noceo, nocēre, nocui, nocitum (+dat) ","noceo","to do harm to, harm, injure",35,
"nolo, nolle, nolui ","nolo","to not . . . wish, be unwilling",32,
"nomen, nominis (n) ","nomen","name",7,
"non ","non ","not",1,
"nonne ","nonne ","introduces question anticipating a “yes”",40,
"noster, nostra, nostrum ","noster","our",5,
"novus, nova, novum ","novus","new; strange",7,
"nox, noctis (f)* ","nox","night",26,
"nubes, nubis (f)* ","nubes","cloud",14,
"nubo, nubere, nupsi, nuptum ","nubo","to cover, veil; (+dat) to be married to, marry",35,
"nullus, nulla, nullum ","nullus","not any; no, none",9,
"num ","num ","1. introduces question anticipating a “no”. 2. introduces indirect questions and means “whether.”",40,
"numerus, numeri (m) ","numerus","number",3,
"numquam ","numquam ","never",8,
"nunc ","nunc ","now",6,
"nuntio, nuntiāre, nuntiavi, nuntiatum ","nuntio","to announce, report, relate",25,
"nuper ","nuper ","recently",12,
"oblecto, oblectāre, oblectavi, oblectatum ","oblecto","to please, amuse, delight; pass time pleasantly",36,
"occasio, occasionis (f) ","occasio","occasion, opportunity",28,
"occido, occidere, occidi, occasum ","occido","to fall down; die; set",31,
"oculus, oculi (m) ","oculus","eye",4,
"odi, odisse, osum ","odi","to hate",20,
"odium, odii (n) ","odium","hatred",38,
"offero, offere, obtuli, oblatum ","offero","to offer",31,
"officium, officii (n) ","officium","duty, service",4,
"olim ","olim ","at that time, once, formerly; in the future",13,
"omnino ","omnino ","wholly, entirely, altogether",40,
"omnis, omne ","omnis","every, all",16,
"opinor, opināri, opinatus sum ","opinor","to suppose",40,
"oportet, oportere, oportuit (impersonal) ","oportet","it is proper, right, necessary",39,
"opprimo, opprimere, oppressi, oppressum ","opprimo","to suppress, overwhelm, overpower, check",23,
"oppugno, oppugnāre, oppugnavi, oppugnatum ","oppugno","to fight against, attack, assault, assail",39,
"ops, opis (f) ","ops","help, aid",33,
"opus, operis (n) ","opus","work, task; deed, accomplishment",38,
"orator, oratoris (m) ","orator","orator; speaker",23,
"orno, ornāre, ornavi, ornatum ","orno","to equip, furnish, adorn",39,
"oro, orāre, oravi, oratum ","oro","to speak, plead; beg, beseech, entreat, pray",36,
"os, oris (n) ","os","mouth, face",14,
"osculum, osculi (n) ","osculum","kiss",29,
"ostendo, ostendere, ostendi, ostentum ","ostendo","to exhibit, show, display",23,
"otium, otii (n) ","otium","leisure, peace",4,
"par (gen: paris) (+dat) ","par","equal (to), like",32,
"parco, parcere, peperci, parsurum (+dat) ","parco","to be lenient to; spare",35,
"parens, parentis (m/f) ","parens","parent",28,
"pareo, parēre, parui (+dat) ","pareo","to be obedient to, obey",35,
"paro, parāre, paravi, paratum ","paro","to  prepare, provide; get, obtain",19,
"pars, partis (f)* ","pars","part, share; direction",14,
"parvus, parva, parvum ","parvus","small, little",4,
"patefacio, patefacere, patefeci, patefactum ","patefacio","to make open, open; disclose, expose",25,
"pateo, patēre, patui ","pateo","to be open, lie open; be accessible; be evident",32,
"pater, patris (m) ","pater","father",12,
"patientia, patientiae (f) ","patientia","suffering; patience, endurance",12,
"patior, pati, passus sum ","patior","to suffer, endure; permit",34,
"patria, patriae (f) ","patria","fatherland, native land, homeland",2,
"pauci, paucae, pauca ","pauci","few, a few",3,
"pauper (gen: pauperis) ","pauper","of small means, poor",32,
"paupertas, paupertatis (f) ","paupertas","poverty",32,
"pax, pacis (f) ","pax","peace",7,
"pectus, pectoris (n) ","pectus","breast, heart",35,
"pecunia, pecuniae (f) ","pecunia","money",2,
"pello, pellere, pepuli, pulsum ","pello","to strike, push; drive out, banish",24,
"per (+acc) ","per ","through",13,
"peregrinor, peregrinari, peregrinatus sum ","peregrinor","to  travel abroad, wander",37,
"perfugium, perfugii (n) ","perfugium","refuge,  solace, shelter",24,
"periculum, periculi (n) ","periculum","danger, risk",4,
"pernocto, pernoctāre,  pernoctavi, pernoctatum ","pernocto","to spend the night",39,
"perpetuus, perpetua, perpetuum ","perpetuus","perpetual, lasting, uninterrupted, continuous",6,
"persuadeo, persuadēre, persuasi, persuasum (+dat) ","persuadeo","to succeed in urging, persuade, convince",35,
"pes, pedis (m) ","pes","lower leg, foot",38,
"peto, petere, petivi, petitum ","peto","to seek, aim at, beseech",23,
"philosophia, philosophiae (f) ","philosophia","philosophy",2,
"philosophus, philosophi (m) ","philosophus","philosopher",33,
"placeo, placēre, placui, placitum (+dat) ","placeo","to be pleasing to, please",35,
"plebs, plebis (f) ","plebs","the common people, populace, plebeians",33,
"plenus, plena, plenum ","plenus","full, abundant, generous",6,
"poena, poenae (f) ","poena","penalty, punishment",2,
"poeta, poetae (m) ","poeta","poet",2,
"pono, ponere, posui, positum ","pono","to put, place, set",27,
"populus, populi (m) ","populus","people, the people, a nation",3,
"porta, portae (f) ","porta","gate, entrance",2,
"possum, posse, potui ","possum","to be able, can, could, have power",6,
"post (+acc) ","post ","after, behind",7,
"postea ","postea ","afterwards",24,
"postremum ","postremum ","after all, finally; for the last time",40,
"potens (gen: potentis) ","potens","powerful",16,
"prae (+abl) ","prae ","in front of, before",26,
"praebeo, praebēre, praebui, praebitum ","praebeo","to offer, provide",32,
"praemium, praemii (n) ","praemium","reward, prize",35,
"praesto, praestāre,  praestiti, praestitum ","praesto","to excel; exhibit, show,  offer, supply, furnish",28,
"praeter (+acc) ","praeter ","besides, except; beyond, past",40,
"premo, premere, pressi, pressum ","premo","to press; press hard, pursue",23,
"primo ","primo ","at first, at the beginning",30,
"primus, prima, primum ","primus","first, foremost, chief, principal",27,
"princeps (gen: principis) ","princeps","chief, foremost",28,
"principium, principii (n) ","principium","beginning",12,
"pristinus, pristina, pristinum ","pristinus","ancient; former, previous",38,
"pro (+abl) ","pro ","in front of, before, on behalf of, for the sake of, in return for, instead of, for, as",12,
"probitas, probitatis (f) ","probitas","uprightness, honesty",18,
"probo, probāre, probavi, probatum ","probo","to approve, recommend; test",27,
"proficiscor, proficisci, profectus sum ","proficiscor","to set out, start",34,
"prohibeo, prohibēre, prohibui, prohibitum ","prohibeo","to keep (back), prevent, hinder, restrain",20,
"promitto, promittere, promisi, promissum ","promitto","to send forth; promise",32,
"pronuntio, pronuntiāre, pronuntiavi, pronuntiatum ","pronuntio","to proclaim, announce, declaim; pronounce",20,
"propter (+accusative) ","propter ","on account of, because of",5,
"protinus ","protinus ","immediately",22,
"pudicus, pudica, pudicum ","pudicus","modest, chaste",26,
"puella, puellae (f) ","puella","girl",2,
"puer, pueri (m) ","puer","boy",3,
"pugno, pugnāre, pugnavi, pugnatum ","pugno","to fight",29,
"pulcher, pulchra, pulchrum ","pulcher","beautiful",5,
"puto, putāre, putavi, putatum ","puto","to reckon, suppose, judge, think, imagine",25,
"quaero, quaerere, quaesivi, quaesitum ","quaero","to seek, look for, strive for; ask, inquire, inquire into",24,
"quam ","quam ","how",16,
"quam ","quam ","than",26,
"quando ","quando ","when ",5,
"quantus, quanta, quantum ","quantus","how large, how great, how much",30,
"quare ","quare ","because of which thing, therefore, wherefore, why",6,
"quasi ","quasi ","as if, as it were",39,
"que ","que ","and (suffix added to the end a word, joining it to the previous)",6,
"qui, quae, quod ","qui","(relative pronoun) who, which, what, that",17,
"qui? quae? quod? ","qui? quae? quod? ","(interrogative adj) ",19,
"quid ","quid ","what",1,
"quidam, quaedam, quiddam ","quidam","certain, some",26,
"quidem ","quidem ","indeed, certainly, at least, even",29,
"quin ","quin ","indeed, in fact",40,
"quis, quid [after: si, nisi, num, or ne] ","quis","anyone, anything, someone, something",33,
"quis? quid? ","quis? quid? ","(interrogative pronoun) who? whose? whom? what? which?",19,
"quisque, quidque ","quisque","each one,  each person, each thing",13,
"quisquis, quidquid ","quisquis","whoever, whatever",23,
"quod ","quod ","because",11,
"quondam ","quondam ","formerly, once",22,
"quoniam ","quoniam ","since, inasmuch as",10,
"quoque ","quoque ","also, too",17,
"quot ","quot ","how many, as many as",27,
"rapio, rapere, rapui, raptum ","rapio","to seize, snatch, carry away",21,
"ratio, rationis (f) ","ratio","reckoning, account; reason, judgement, consideration; system; manner, method",8,
"recipio, recipere, recepi, receptum ","recipio","to take back, regain; admit, receive",24,
"recito, recitāre, recitavi, recitatum ","recito","to read aloud, recite",17,
"recreo, recreāre, recreavi, recreatum ","recreo","to  restore, revive; refresh, cheer",36,
"recuso, recusāre, recusavi, recusatum ","recuso","to refuse",33,
"refero, referre,  rettuli,  relatum ","refero","to carry back, bring back; repeat, answer, report",31,
"regina, reginae (f) ","regina","queen",7,
"rego, regere, rexi, rectum ","rego","to rule, guide, direct",16,
"relinquo, relinquere, reliqui, relictum ","relinquo","to leave behind, leave, abandon, desert",21,
"remaneo, remanēre, remansi, remansum (or maneo) ","remaneo","to remain, stay; stay behind, abide, continue",5,
"remedium, remedii (n) ","remedium","cure, remedy",4,
"remissio, remissionis (f) ","remissio","letting go, release; relaxation",34,
"repente ","repente ","suddenly",30,
"reperio, reperire, repperi, repertum ","reperio","to find, discover, learn; get",40,
"requiesco, requiescere, requievi, requietum ","requiesco","to rest",37,
"requiro, requirere, requisivi, requisitum ","requiro","to seek, ask for; miss, need, require",36,
"res publica, rei publicae (f) state,  commonwealth, republic","res publica",,22,
"res, rei (f) ","res","thing, matter,  business, affair",22,
"respondeo, respondēre, respondi, responsum ","respondeo","to answer",29,
"rex, regis (m) ","rex","king",7,
"rideo, ridēre, risi, risum ","rideo","to laugh, laugh at",24,
"ridiculus, ridicula, ridiculum ","ridiculus","laughable, ridiculous",30,
"rogo, rogāre, rogavi, rogatum ","rogo","to ask",30,
"Roma, Romae (f) ","Roma","Rome",14,
"Romanus, Romana, Romanum ","Romanus","Roman",3,
"rosa, rosae (f) ","rosa","rose",2,
"rumor, rumoris (m) ","rumor","rumor, gossip",31,
"rus, ruris (n) ","rus","the country, countryside",37,
"rusticor, rusticāri, rusticatus sum ","rusticor","to live in the country",34,
"sacerdos, sacerdotis (m) ","sacerdos","priest",23,
"saepe ","saepe ","often",1,
"sal, salis (m) ","sal","salt; wit",33,
"salus, salutis (f) ","salus","health, safety; greeting",21,
"salveo, salvēre ","salveo","to be well, be in good health",1,
"salvus, salva, salvum ","salvus","safe, sound",6,
"sanus, sana, sanum ","sanus","sound, healthy, sane",5,
"sapiens (gen: sapientis) ","sapiens","wise, judicious",25,
"sapientia, sapientiae (f) ","sapientia","wisdom",3,
"sapio, sapere, sapivi ","sapio","to have good taste; have good sense, be wise",35,
"satio, satiāre, satiavi, satiatum ","satio","to satisfy, sate",3,
"satis ","satis ","enough, sufficient",5,
"sator, satoris (m) ","sator","sower, planter; begetter, father; founder",38,
"satura, saturae (f) ","satura","satire",16,
"sauvis, suave ","sauvis","sweet",33,
"saxum, saxi (n) ","saxum","rock",40,
"scelus, sceleris (n) ","scelus","crime, wickedness, evil deed",19,
"scientia, scientiae (f) ","scientia","knowledge",18,
"scio, scire, scivi, scitum ","scio","to know",21,
"scribo, scribere, scripsi, scriptum ","scribo","to write, compose",8,
"scriptor, scriptoris (m) ","scriptor","writer, author",8,
"secundus, secunda, secundum ","secundus","second; favorable",6,
"sed ","sed ","but",2,
"sedeo, sedēre, sedi, sessum ","sedeo","to sit",34,
"semel ","semel ","a single time, once, once and for all, simultaneously ",31,
"semper ","semper ","always",3,
"senatus, senatus (m) ","senatus","senate",20,
"senectus, senectutis (f) ","senectus","old age",10,
"senex (gen: senis) ","senex","old, aged",16,
"sensus, sensus (m) ","sensus","feeling,  sense",20,
"sententia, sententiae (f) ","sententia","feeling, though, opinion, vote, sentence",2,
"sentio, sentire, sensi, sensum ","sentio","to  feel, perceive, think, experience",11,
"sequor, sequi, secutus sum ","sequor","to follow",34,
"sereno, serenāre, serenavi, serenatum ","sereno","to  make clear, brighten; cheer up, soothe",36,
"servio, servire, servivi, servitum (+dat) ","servio","to be a slave to, serve",35,
"servitus, servitutis (f) ","servitus","slavery, servitude",20,
"servo, servāre, servavi, servatum ","servo","to save, preserve, keep, guard, protect",1,
"servus, servi (m) or serva, servae (f) ","servus","slave",24,
"si ","si ","if",1,
"sic ","sic ","so thus",29,
"sidus, sideris (n) ","sidus","constellation, star",29,
"signum, signi (n) ","signum","sign, signal, indication; seal",13,
"similis, simile ","similis","(+ gen. or dat.) similar (to), like, resembling",27,
"sine (+ablative) ","sine ","without",2,
"sinister, sinistra, sinistrum ","sinister","left, left",20,"omened"
"sol, solis (m) ","sol","sun",27,
"solacium, solacii (n) ","solacium","comfort, relief",24,
"soleo, solēre, solitus sum ","soleo","to be accustomed",37,
"solus, sola, solum ","solus","alone, only (non solum . . . sed etiam ",9,
"somnus, somni (m) ","somnus","sleep",26,
"soror, sororis (f) ","soror","sister",8,
"specto, spectāre, spectavi, spectatum ","specto","to look at, watch, see",34,
"speculum, speculi (n) ","speculum","mirror",33,
"spero, sperāre, speravi, speratum ","spero","to hope for, hope",25,
"spes, spei (f) ","spes","hope",22,
"spiritus, spiritus (m) ","spiritus","breath, breathing; spirit, soul",20,
"stella, stellae (f) ","stella","star",28,
"sto, stare, steti, statum ","sto","to stand, stand still, stand firm",13,
"studeo, studēre, studui (+dat) ","studeo","to direct one’s zeal to, be eager for, study",35,
"studium, studii (n) ","studium","zeal, eagerness, pursuit, study",9,
"stultus, stulta, stultum ","stultus","foolish",4,
"sub (+abl with verbs of rest, +acc with verbs of motion) ","sub","under, up under, close to, at the foot of",7,
"subito ","subito ","suddenly",33,
"sublimis, sublime ","sublimis","elevated, lofty; heroic, noble",38,
"subrideo, subridēre, subrisi, subrisum ","subrideo","to smile (down) upon",35,
"sui ","sui ","(reflexive pronoun) him/her/itself, themselves",13,
"sum, esse, fui, futurum ","sum","to be, exist",4,
"superbus, superba, superbum ","superbus","arrogant, overbearing, haughty, proud",26,
"supero, superāre, superavi, superatum ","supero","to be above, have the upper hand, surpass; overcome, conquer",5,
"superus, supera, superum ","superus","above, upper",27,
"surgo, surgere, surrexi, surrectum ","surgo","to get up, arise",29,
"suscipio, suscipere, suscepi, susceptum ","suscipio","to undertake",25,
"suus, sua, suum ","suus","his own, her own, its own, their own",13,
"Syracusae, Syracusarum (f) ","Syracusae","Syracuse",37,
"taceo, tacēre, tacui, tacitum ","taceo","to be silent, leave unmentioned",28,
"talis, tale ","talis","such, of such a sort",34,
"tam ","tam ","so, to such a degree (tam . . quam ",29,
"tamen ","tamen ","nevertheless, still",8,
"tango, tangere, tetigi, tactum ","tango","to touch",21,
"tantum ","tantum ","only",26,
"tantus, tanta, tantum ","tantus","so large, so great, of such a size",29,
"te ","te ","you (accusative)",5,
"tempestas, tempestatis (f) ","tempestas","period of time, season; weather; storm",15,
"tempus, temporis (n) ","tempus","time; occasion, opportunity",7,
"teneo, tenere, tenui, tentum ","teneo","to hold, keep, possess; restrain",14,
"terra, terrae (f) ","terra","land, earth, ground, country",7,
"terreo, terrēre, terrui, territum ","terreo","to frighten, terrify",1,
"timeo, timēre, timui ","timeo","to be afraid, fear",15,
"timor, timoris (m) ","timor","fear",10,
"tolero, tolerāre, toleravi, toleratum ","tolero","to bear, endure",6,
"tollo, tollere, sustuli, sublatum ","tollo","to raise up, lift up; take away, remove, destroy",22,
"tot ","tot ","so many",40,
"totus, tota, totum ","totus","whole, entire",9,
"trado, tradere, tradidi, traditum ","trado","to give over, surrender; hand down, transmit, teach (trans + do)",33,
"traho, trahere, traxi, tractum ","traho","to drag, draw; derive, acquire",8,
"trans (+acc) ","trans ","across",14,
"transeo, transire, transii, transitum ","transeo","to go across, cross; pass over, ignore",39,
"transitus, transitus (m) ","transitus","passing over, transit; transition",39,
"tristis, triste  ","tristis","sad, sorrowful; joyless, grim, severe",26,
"Troia, Troiae (f) ","Troia","Troy",21,
"tu, tui ","tu","you",11,
"tum ","tum ","then, at that time; thereupon, in the next place",5,
"turba, turbae (f) ","turba","uproar, disturbance; mob, crowd, multitude",14,
"turpis, turpe ","turpis","ugly; shameful, base, disgraceful",26,
"tuus, tua, tuum ","tuus","your (singular)",2,
"tyrannus, tyranni (m) ","tyrannus","absolute ruler, tyrant",6,
"ubi ","ubi ","where, when",6,
"ullus, ulla, ulllum ","ullus","any",9,
"ultimus, -a, -um","ultimus","farthest, extreme; last, final",25,
"ultra (+acc) ","ultra ","beyond, on the other side of",22,
"umquam ","umquam ","ever, at any time",23,
"unde ","unde ","whence, from what/which place, from which, from whom",30,
"unus, una, unum ","unus","one, single, alone",9,
"urbanus, urbana, urbanum ","urbanus","of the city, urban; urbane, elegant",26,
"urbs, urbis (f)* ","urbs","city",14,
"usque ","usque ","all the way up (to), even (to), continuously, always",31,
"ut ","ut ","(+indic) as, just as, when",24,
"ut ","ut ","(+indic) as, when; (+subjunct) in order that, so that, that, in order to, so as to, to",28,
"uter, utra, utrum ","uter","either, which (of two)",9,
"utilis, utile ","utilis","useful, advantageous",27,
"utor, uti, usus sum (+abl) ","utor","to use; enjoy, experience",34,
"utrum . . . an ","utrum . . . an ","whether . . . or",30,
"uxor, uxoris (f) ","uxor","wife",7,
"vae (often +dat) ","vae","alas, woe to",34,
"valeo, valēre, valui, valiturum ","valeo","to be strong, have power; be well",1,
"venio, venire, veni, ventum ","venio","to come",10,
"ventus, venti (m) ","ventus","wind",39,
"verbum, verbi (n) ","verbum","word",5,
"vereor, verēri, veritus sum ","vereor","to show reverence for, respect; be afraid of",40,
"veritas, veritatis (f) ","veritas","truth",10,
"vero ","vero ","in truth, indeed, to be sure, however",29,
"versus, versus (m) ","versus","line of verse, verse",20,
"verto, vertere, verti, versum ","verto","to turn; change",23,
"verus, vera, verum ","verus","true, real, proper",4,
"vesper, vesperis/vesperi (m) ","vesper","evening; evening star",28,
"vester, vestra, vestrum ","vester","your (plural)",6,
"vetus (gen: veteris) ","vetus","old",39,
"via, viae (f) ","via","road, way, street",10,
"vicinus, vicini (m) ","vicinus","neighbor",21,
"victoria, victoriae (f) ","victoria","victory",8,
"video, vidēre, vidi, visum ","video","to see; observe, understand",1,
"videor, vidēri, visus sum ","videor","to be seen; seem, appear",18,
"vinco, vincere, vici, victum ","vinco","to conquer, overcome",8,
"vinculum, vinculi (n) ","vinculum","chain, bond, fetter",36,
"vinum, vini (n) ","vinum","wine",31,
"vir, viri (m) ","vir","man, hero, husband",3,
"virgo, virginis (f) ","virgo","maiden, virgin, young woman",7,
"virtus, virtutis (f) ","virtus","manliness, courage; excellence, character, worth, virtue",7,
"vis, vis (f) ","vis","force, power, violence (plural = strength)",14,
"vita, vitae (f) ","vita","life; mode of life",2,
"vitium, vitii (n) ","vitium","fault, crime, vice",6,
"vito, vitāre, vitavi, vitatum ","vito","shun, avoid",14,
"vivo, vivere, vixi, victum ","vivo","to live",10,
"vivus, viva, vivum ","vivus","living, alive",30,
"voco, vocāre, vocavi, vocatum ","voco","to call, summon",1,
"volo, velle, volui ","volo","to wish, want, be willing, will",32,
"voluptas, voluptatis (f) ","voluptas","pleasure",10,
"vox, vocis (f) ","vox","voice",34,
"vulgus, vulgi (n) ","vulgus","the common people, mob, rabble",21,
"vulnus, vulneris (n) ","vulnus","wound",24,
"vultus, vultus (m) ","vultus","countenance, face",40,
"ne","ne",,5,
